City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Airai,TL,2021-09-18 20:01:11,-8.9266,125.4092,58.33,57,91,2.95
145,Souillac,MU,2021-09-18 20:01:05,-20.5167,57.5167,68.36,79,78,5.41
146,Skjervoy,NO,2021-09-18 20:01:12,70.0311,20.9714,47.46,70,100,11.63
147,Mayo,US,2021-09-18 20:01:12,38.8876,-76.5119,90.39,69,4,1.01
148,Constitucion,CL,2021-09-18 19:59:41,-35.3333,-72.4167,56.26,61,0,18.05
149,Moerai,PF,2021-09-18 20:01:13,-22.4333,-151.3333,72.88,65,65,15.01
150,Hobart,AU,2021-09-18 19:59:48,-42.8794,147.3294,50.25,70,90,3.0
151,Beringovskiy,RU,2021-09-18 20:00:02,63.05,179.3167,46.63,67,87,4.25
152,Varhaug,NO,2021-09-18 20:01:13,58.6147,5.6457,57.88,69,100,24.18
153,Henties Bay,NA,2021-09-18 20:01:13,-22.116,14.2845,57.85,91,1,5.79
154,Colares,PT,2021-09-18 19:59:48,38.7992,-9.4469,67.68,69,20,21.85
155,Les Cayes,HT,2021-09-18 20:01:14,18.2,-73.75,85.64,68,94,6.15
156,Ouricuri,BR,2021-09-18 20:01:14,-7.8825,-40.0817,86.02,32,3,6.8
157,Coquimbo,CL,2021-09-18 20:01:14,-29.9533,-71.3436,59.76,73,2,10.09
158,Palmerston,AU,2021-09-18 20:00:44,-12.486,130.9833,75.18,88,90,3.44
159,Killarney,IE,2021-09-18 20:01:15,52.05,-9.5167,55.51,98,100,4.68
160,Bartica,GY,2021-09-18 20:01:15,6.4,-58.6167,83.86,68,89,4.79
161,Sitka,US,2021-09-18 20:01:15,57.0531,-135.33,55.13,75,100,1.39
162,Seafield,GB,2021-09-18 20:01:16,55.9667,-3.15,62.82,87,0,1.01
163,Rio Gallegos,AR,2021-09-18 20:01:16,-51.6226,-69.2181,43.68,72,98,12.84
164,Mayumba,GA,2021-09-18 20:01:16,-3.432,10.6554,75.09,85,100,8.61
165,Saint-Philippe,RE,2021-09-18 19:59:42,-21.3585,55.7679,69.39,88,70,8.16
166,Qena,EG,2021-09-18 20:01:17,26.1615,32.7183,84.87,24,3,7.54
167,Pisco,PE,2021-09-18 20:01:17,-13.7,-76.2167,62.02,85,11,7.96
168,Nizwa,OM,2021-09-18 20:01:17,22.9333,57.5333,84.49,58,45,2.93
169,Srednekolymsk,RU,2021-09-18 20:01:18,67.45,153.6833,30.9,79,55,11.99
170,San Cristobal,VE,2021-09-18 19:59:40,7.7669,-72.225,77.2,70,72,6.04
171,Smirnykh,RU,2021-09-18 20:01:18,49.75,142.8333,42.73,85,0,5.75
172,Kavieng,PG,2021-09-18 20:01:18,-2.5744,150.7967,82.83,76,46,13.13
173,Waipawa,NZ,2021-09-18 20:01:19,-41.4122,175.5153,48.04,73,11,5.64
174,Touros,BR,2021-09-18 20:01:19,-5.1989,-35.4608,79.05,69,9,18.86
175,Ravenna,IT,2021-09-18 20:01:19,44.4167,11.9833,72.9,89,43,5.66
176,Buraydah,SA,2021-09-18 20:00:13,26.326,43.975,88.72,15,85,5.7
177,Nelson Bay,AU,2021-09-18 20:01:20,-32.7167,152.15,54.09,92,0,8.41
178,Namibe,AO,2021-09-18 20:01:20,-15.1961,12.1522,61.34,83,3,11.36
179,Kabo,CF,2021-09-18 20:01:20,7.6994,18.629,70.02,94,79,1.48
180,Amalapuram,IN,2021-09-18 20:01:21,16.5833,82.0167,77.99,88,100,3.47
181,Gandajika,CD,2021-09-18 20:01:21,-6.75,23.95,73.85,68,100,3.29
182,Aqtobe,KZ,2021-09-18 20:01:21,50.2797,57.2072,37.49,65,0,6.71
183,Zarinsk,RU,2021-09-18 20:01:22,53.7074,84.9493,42.33,78,21,2.46
184,Salalah,OM,2021-09-18 20:01:22,17.0151,54.0924,80.06,88,96,5.21
185,Goundam,ML,2021-09-18 20:01:22,16.4145,-3.6708,99.66,20,18,3.78
186,Kumba,CM,2021-09-18 20:01:23,4.6363,9.4469,72.12,97,99,0.76
187,Hilo,US,2021-09-18 20:00:00,19.7297,-155.09,80.28,86,73,7.47
188,Akyab,MM,2021-09-18 20:01:23,20.15,92.9,79.03,86,100,5.1
189,Yellowknife,CA,2021-09-18 20:01:23,62.456,-114.3525,49.64,59,100,15.86
190,Nogliki,RU,2021-09-18 20:01:24,51.8333,143.1667,43.07,85,0,10.67
191,Mikkeli,FI,2021-09-18 20:01:24,61.6886,27.2723,32.11,93,0,1.14
192,Pokhara,NP,2021-09-18 20:01:24,28.2333,83.9833,71.42,96,84,0.81
193,Northam,GB,2021-09-18 20:01:25,51.0333,-4.2167,63.39,96,100,8.23
194,Saint-Pierre,RE,2021-09-18 20:01:25,-21.3393,55.4781,69.48,86,90,3.44
195,East London,ZA,2021-09-18 20:01:25,-33.0153,27.9116,61.45,66,0,21.05
196,Mnogovershinnyy,RU,2021-09-18 20:01:26,53.9353,139.9242,36.59,83,22,9.73
197,Salisbury,GB,2021-09-18 19:58:17,51.0693,-1.7957,65.26,85,34,3.51
198,Gobabis,NA,2021-09-18 20:01:26,-22.45,18.9667,69.33,18,8,10.98
199,Maceio,BR,2021-09-18 20:00:18,-9.6658,-35.7353,81.84,74,40,11.5
200,Lebu,CL,2021-09-18 19:59:49,-37.6167,-73.65,53.6,60,15,10.87
201,Lyuban,BY,2021-09-18 20:01:26,52.7985,28.0048,48.65,97,100,6.8
202,Vagamo,NO,2021-09-18 20:01:27,61.8751,9.0967,42.51,94,85,4.83
203,Pangnirtung,CA,2021-09-18 20:01:27,66.1451,-65.7125,34.92,71,98,4.9
204,San Policarpo,PH,2021-09-18 20:01:27,12.1791,125.5072,81.63,77,100,3.8
205,Buchanan,LR,2021-09-18 20:01:28,5.8808,-10.0467,78.04,85,82,7.02
