City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Grindavik,IS,63.8424,-22.4338,41.47,87,75,8.05,broken clouds
174,Kosh-Agach,RU,50.0,88.6667,35.8,38,96,1.34,overcast clouds
175,Oussouye,SN,12.485,-16.5469,78.69,89,100,3.91,light rain
176,Souillac,MU,-20.5167,57.5167,72.36,78,49,14.81,scattered clouds
177,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,54.88,96,100,19.6,overcast clouds
178,Hit,IQ,33.6416,42.8251,77.36,41,0,13.69,clear sky
179,Centralia,US,46.7162,-122.9543,62.65,84,1,0.0,clear sky
180,Nara,JP,34.6851,135.8049,76.28,51,66,5.08,broken clouds
181,Tiksi,RU,71.6872,128.8694,38.98,70,45,23.47,scattered clouds
182,Flin Flon,CA,54.7682,-101.865,43.21,88,100,13.58,overcast clouds
183,Berdigestyakh,RU,62.0989,126.6992,45.48,89,100,4.9,overcast clouds
184,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.88,99,100,1.48,light rain
185,Olafsvik,IS,64.8945,-23.7142,42.1,86,100,13.47,overcast clouds
186,Ruston,US,32.5232,-92.6379,60.49,94,1,0.0,clear sky
187,Mimongo,GA,-1.6195,11.6068,70.11,98,99,1.57,overcast clouds
188,Belyy Yar,RU,53.6039,91.3903,40.89,65,0,2.24,clear sky
189,Tabriz,IR,38.08,46.2919,69.26,28,0,6.91,clear sky
190,Natal,BR,-5.795,-35.2094,75.85,94,0,4.61,clear sky
191,Manokwari,ID,-0.8667,134.0833,83.26,71,100,9.35,overcast clouds
192,Zyryanka,RU,65.75,150.85,47.59,49,100,7.25,overcast clouds
193,Uturoa,PF,-16.7333,-151.4333,77.16,73,14,13.0,few clouds
194,Kedougou,SN,12.5579,-12.1743,74.28,97,100,3.4,light rain
195,Mattru,SL,7.6244,-11.8332,73.38,98,100,2.73,overcast clouds
196,Suoyarvi,RU,62.0833,32.35,45.14,96,100,9.04,overcast clouds
197,Hlotse,LS,-28.8718,28.045,53.01,45,10,2.77,clear sky
198,Alice Springs,AU,-23.7,133.8833,80.15,9,0,5.75,clear sky
199,Tomatlan,MX,19.9333,-105.25,77.31,92,8,3.24,clear sky
200,Saint-Georges,GD,12.0564,-61.7485,81.97,78,8,10.56,clear sky
201,Sabang,ID,5.8933,95.3214,82.13,75,16,5.84,few clouds
202,Mana,GF,5.6592,-53.7767,79.5,87,16,11.18,few clouds
203,Kendari,ID,-3.945,122.4989,84.11,67,100,3.24,overcast clouds
204,Saint-Pierre,RE,-21.3393,55.4781,69.44,68,0,6.91,clear sky
205,Komsomolskiy,UZ,40.4272,71.7189,65.12,39,0,4.61,clear sky
206,Westport,US,41.1415,-73.3579,76.82,94,90,1.01,light rain
207,Georgetown,MY,5.4112,100.3354,87.89,72,20,5.75,few clouds
208,Padang,ID,-0.9492,100.3543,87.85,70,39,3.0,scattered clouds
209,Touros,BR,-5.1989,-35.4608,76.1,78,45,15.32,scattered clouds
210,Saldanha,ZA,-33.0117,17.9442,55.63,93,53,2.55,broken clouds
211,Nanortalik,GL,60.1432,-45.2371,35.22,73,25,16.91,scattered clouds
212,Berlevag,NO,70.8578,29.0864,45.09,82,50,17.45,scattered clouds
213,Amparafaravola,MG,-17.5833,48.2167,56.7,89,43,6.02,scattered clouds
214,Saskylakh,RU,71.9167,114.0833,33.8,97,100,9.84,overcast clouds
215,Mount Isa,AU,-20.7333,139.5,85.77,12,5,5.75,clear sky
216,Zeya,RU,53.75,127.2667,56.66,65,54,5.82,broken clouds
217,Chalons-En-Champagne,FR,48.9539,4.3672,49.23,86,3,2.42,clear sky
218,Portland,US,45.5234,-122.6762,68.5,72,1,1.99,clear sky
219,Muros,ES,42.7762,-9.0603,64.99,78,100,9.06,overcast clouds
220,Acajutla,SV,13.5928,-89.8275,80.08,80,88,3.09,overcast clouds
221,Lebu,CL,-37.6167,-73.65,50.05,87,0,11.56,clear sky
222,Bagaces,CR,10.5271,-85.2548,71.53,90,96,3.85,moderate rain
223,Leiyang,CN,26.4024,112.8591,94.51,43,5,7.25,clear sky
224,Bengkulu,ID,-3.8004,102.2655,84.07,66,79,3.09,broken clouds
225,Port-Gentil,GA,-0.7193,8.7815,77.05,86,100,7.92,overcast clouds
226,Mandalgovi,MN,45.7625,106.2708,58.3,51,78,12.53,broken clouds
227,Airai,TL,-8.9266,125.4092,79.5,30,52,3.13,broken clouds
228,Mareeba,AU,-17.0,145.4333,79.45,57,99,8.81,overcast clouds
229,Moramanga,MG,-18.9333,48.2,54.36,86,75,2.42,broken clouds
230,Oksfjord,NO,70.2396,22.3479,45.52,93,100,10.85,light rain
231,Baturaja,ID,-4.1333,104.1667,85.37,67,80,4.34,broken clouds
232,Saint-Joseph,RE,-21.3667,55.6167,68.36,75,17,11.12,few clouds
233,Geraldton,AU,-28.7667,114.6,75.61,41,0,13.8,clear sky
234,Khor,RU,47.8861,134.9464,60.85,47,0,3.74,clear sky
235,Novaya Igirma,RU,57.1334,103.9112,38.39,95,100,2.59,light rain
236,Makakilo City,US,21.3469,-158.0858,82.72,69,75,11.5,broken clouds
237,Luanda,AO,-8.8368,13.2343,72.03,85,100,10.51,overcast clouds
238,San-Pedro,CI,4.7485,-6.6363,74.59,94,96,4.52,light rain
239,Kisangani,CD,0.5167,25.2,67.39,99,94,1.48,overcast clouds
240,Khatanga,RU,71.9667,102.5,34.99,86,96,4.16,overcast clouds
241,Linjiang,CN,41.8069,126.9078,73.51,55,11,2.75,few clouds
242,Jalu,LY,29.0331,21.5482,73.74,64,31,11.5,scattered clouds
243,El Tigre,VE,8.8875,-64.2454,80.19,65,69,4.74,broken clouds
244,Boz,FR,46.4071,4.9109,55.18,96,3,0.63,clear sky
245,Carnarvon,AU,-24.8667,113.6333,73.47,68,0,18.41,clear sky
246,Ried,DE,48.477,11.2606,54.64,88,57,8.9,broken clouds
247,Chokurdakh,RU,70.6333,147.9167,34.56,94,100,8.66,light rain
248,La Ronge,CA,55.1001,-105.2842,43.61,68,64,9.86,broken clouds
249,Tandil,AR,-37.3217,-59.1332,50.31,87,10,2.39,clear sky
250,Matamoros,MX,25.5333,-103.25,76.95,38,5,7.25,clear sky
251,Abbeville,FR,50.1,1.8333,64.36,97,89,6.85,overcast clouds
252,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.12,63,38,7.09,scattered clouds
253,Lagoa,PT,39.05,-27.9833,68.74,63,100,9.8,overcast clouds
254,Murakami,JP,38.2333,139.4833,70.18,81,71,10.76,broken clouds
255,Pevek,RU,69.7008,170.3133,28.85,84,98,13.09,overcast clouds
256,Sterling,US,39.0062,-77.4286,62.15,87,20,3.44,few clouds
257,Guerrero Negro,MX,27.9769,-114.0611,74.95,76,67,14.0,broken clouds
258,Natividade,BR,-21.0422,-41.9733,58.08,83,4,3.36,clear sky
259,Port Elizabeth,ZA,-33.918,25.5701,52.11,82,88,8.41,overcast clouds
260,Labuhan,ID,-6.8844,112.2051,84.49,66,100,6.73,overcast clouds
261,Neuquen,AR,-38.9516,-68.0591,55.29,58,0,3.44,clear sky
262,Moerai,PF,-22.4333,-151.3333,71.83,67,0,15.97,clear sky
263,Karasjok,NO,69.4719,25.5112,41.11,92,100,12.1,overcast clouds
264,Rocha,UY,-34.4833,-54.3333,51.08,97,45,1.86,scattered clouds
265,Trinidad,BO,-14.8333,-64.9,87.03,38,91,7.18,overcast clouds
266,Xihua,CN,33.7833,114.5167,74.32,76,100,3.15,overcast clouds
267,Harer,ET,9.3094,42.1258,57.97,84,84,2.42,broken clouds
268,Camabatela,AO,-8.1881,15.375,62.11,90,98,4.74,overcast clouds
269,Mitu,CO,1.1983,-70.1733,70.36,99,58,1.52,broken clouds
270,Cockburn Town,TC,21.4612,-71.1419,83.05,76,100,11.14,overcast clouds
271,Uvira,CD,-3.4067,29.1458,76.35,63,86,2.06,overcast clouds
272,Severo-Kurilsk,RU,50.6789,156.125,48.6,91,100,25.08,light rain
273,Chateau-Thierry,FR,49.05,3.4,56.14,86,6,2.28,clear sky
274,Narsaq,GL,60.9167,-46.05,35.82,59,0,4.81,clear sky
275,Tigil,RU,57.8,158.6667,54.75,54,0,8.23,clear sky
276,Bambous Virieux,MU,-20.3428,57.7575,72.21,79,32,15.61,scattered clouds
277,Terrace,CA,54.5163,-128.6035,48.42,100,100,1.25,moderate rain
278,Fushan,CN,37.4958,121.2581,78.49,56,100,4.97,light rain
279,Mehamn,NO,71.0357,27.8492,43.34,83,13,16.28,few clouds
280,Onega,RU,63.9061,38.1404,43.68,95,100,12.17,overcast clouds
281,Broken Hill,AU,-31.95,141.4333,77.25,15,0,19.35,clear sky
282,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,4.61,clear sky
283,Macau,MO,22.2006,113.5461,89.4,74,40,13.8,scattered clouds
284,Bam,IR,29.106,58.357,84.54,19,28,4.68,scattered clouds
285,Inyonga,TZ,-6.7167,32.0667,65.19,44,49,4.27,scattered clouds
286,Pangnirtung,CA,66.1451,-65.7125,30.51,56,22,4.16,few clouds
287,Wajima,JP,37.4,136.9,72.77,73,100,14.09,overcast clouds
288,Fukue,JP,32.6881,128.8419,75.67,65,44,17.72,scattered clouds
